period,price_firm1,price_firm2,profit_firm1,profit_firm2
93,48,39,0.0,2900.0
94,16,17,600.0,0.0
95,28,28,900.0,900.0
96,13,39,300.0,0.0
97,31,16,0.0,600.0
98,25,42,1500.0,0.0
99,43,48,3300.0,0.0
100,48,18,0.0,800.0
101,21,19,0.0,900.0
102,10,10,0.0,0.0
103,10,28,0.0,0.0
104,22,47,1200.0,0.0
105,46,18,0.0,800.0
106,45,46,3500.0,0.0
107,44,33,0.0,2300.0
108,28,18,0.0,800.0
109,18,10,0.0,0.0
110,47,46,0.0,3600.0
111,25,23,0.0,1300.0
112,40,39,0.0,2900.0
113,39,26,0.0,1600.0
114,45,27,0.0,1700.0
115,11,11,50.0,50.0
116,11,35,100.0,0.0
117,15,38,500.0,0.0
118,14,24,400.0,0.0
119,42,15,0.0,500.0
120,36,21,0.0,1100.0
121,44,28,0.0,1800.0
122,23,23,650.0,650.0
123,30,18,0.0,800.0
124,30,43,2000.0,0.0
125,43,21,0.0,1100.0
126,39,32,0.0,2200.0
127,40,46,3000.0,0.0
128,15,15,250.0,250.0
129,11,24,100.0,0.0
130,25,44,1500.0,0.0
131,43,43,1650.0,1650.0
132,45,35,0.0,2500.0
133,31,39,2100.0,0.0
134,21,13,0.0,300.0
135,15,36,500.0,0.0
136,29,44,1900.0,0.0
137,34,26,0.0,1600.0
138,12,12,100.0,100.0
139,10,44,0.0,0.0
140,29,15,0.0,500.0
141,32,38,2200.0,0.0
142,25,35,1500.0,0.0
143,44,13,0.0,300.0
144,16,27,600.0,0.0
145,11,10,0.0,0.0
146,30,24,0.0,1400.0
147,29,12,0.0,200.0
148,19,26,900.0,0.0
149,18,38,800.0,0.0
150,30,30,1000.0,1000.0
151,32,15,0.0,500.0
152,28,44,1800.0,0.0
153,35,40,2500.0,0.0
154,44,17,0.0,700.0
155,25,29,1500.0,0.0
156,33,39,2300.0,0.0
157,34,42,2400.0,0.0
158,23,34,1300.0,0.0
159,13,16,300.0,0.0
160,32,10,0.0,0.0
161,16,37,600.0,0.0
162,43,34,0.0,2400.0
163,21,26,1100.0,0.0
164,43,14,0.0,400.0
165,32,24,0.0,1400.0
166,23,36,1300.0,0.0
167,35,31,0.0,2100.0
168,40,40,1500.0,1500.0
169,19,19,450.0,450.0
170,33,22,0.0,1200.0
171,42,13,0.0,300.0
172,26,13,0.0,300.0
173,38,37,0.0,2700.0
174,43,40,0.0,3000.0
175,14,26,400.0,0.0
176,48,13,0.0,300.0
177,25,22,0.0,1200.0
178,40,46,3000.0,0.0
179,47,38,0.0,2800.0
180,15,22,500.0,0.0
181,25,27,1500.0,0.0
182,44,43,0.0,3300.0
183,21,39,1100.0,0.0
184,28,48,1800.0,0.0
185,18,21,800.0,0.0
186,38,14,0.0,400.0
187,49,35,0.0,2500.0
188,44,31,0.0,2100.0
189,13,23,300.0,0.0
190,24,15,0.0,500.0
191,42,21,0.0,1100.0
192,36,15,0.0,500.0
193,41,49,3100.0,0.0
194,24,22,0.0,1200.0
195,29,19,0.0,900.0
196,37,21,0.0,1100.0
197,46,41,0.0,3100.0
198,27,14,0.0,400.0
199,33,32,0.0,2200.0
200,10,19,0.0,0.0
201,14,46,400.0,0.0
202,17,15,0.0,500.0
203,48,21,0.0,1100.0
204,10,47,0.0,0.0
205,33,24,0.0,1400.0
206,32,14,0.0,400.0
207,25,20,0.0,1000.0
208,29,22,0.0,1200.0
209,33,17,0.0,700.0
210,22,22,600.0,600.0
211,28,43,1800.0,0.0
212,11,40,100.0,0.0
213,47,16,0.0,600.0
214,35,26,0.0,1600.0
215,39,32,0.0,2200.0
216,17,10,0.0,0.0
217,27,42,1700.0,0.0
218,13,40,300.0,0.0
219,25,46,1500.0,0.0
220,33,13,0.0,300.0
221,18,15,0.0,500.0
222,42,17,0.0,700.0
223,19,37,900.0,0.0
224,39,38,0.0,2800.0
225,30,19,0.0,900.0
226,12,29,200.0,0.0
227,22,27,1200.0,0.0
228,18,10,0.0,0.0
229,26,39,1600.0,0.0
230,23,37,1300.0,0.0
231,15,40,500.0,0.0
232,29,27,0.0,1700.0
233,35,27,0.0,1700.0
234,17,24,700.0,0.0
235,40,48,3000.0,0.0
236,12,43,200.0,0.0
237,22,45,1200.0,0.0
238,27,35,1700.0,0.0
239,40,34,0.0,2400.0
240,13,49,300.0,0.0
241,48,14,0.0,400.0
242,49,13,0.0,300.0
243,21,35,1100.0,0.0
244,13,22,300.0,0.0
245,22,45,1200.0,0.0
246,23,19,0.0,900.0
247,42,43,3200.0,0.0
248,21,18,0.0,800.0
249,49,24,0.0,1400.0
250,46,38,0.0,2800.0
251,26,40,1600.0,0.0
252,42,36,0.0,2600.0
253,18,17,0.0,700.0
254,20,16,0.0,600.0
255,21,22,1100.0,0.0
256,42,32,0.0,2200.0
257,16,38,600.0,0.0
258,25,19,0.0,900.0
259,10,42,0.0,0.0
260,41,49,3100.0,0.0
261,47,11,0.0,100.0
262,24,28,1400.0,0.0
263,12,31,200.0,0.0
264,36,23,0.0,1300.0
265,15,31,500.0,0.0
266,37,42,2700.0,0.0
267,32,36,2200.0,0.0
268,23,20,0.0,1000.0
269,42,10,0.0,0.0
270,24,28,1400.0,0.0
271,10,20,0.0,0.0
272,36,44,2600.0,0.0
273,17,42,700.0,0.0
274,32,42,2200.0,0.0
275,17,42,700.0,0.0
276,41,44,3100.0,0.0
277,13,38,300.0,0.0
278,29,30,1900.0,0.0
279,45,16,0.0,600.0
280,32,17,0.0,700.0
281,44,24,0.0,1400.0
282,46,35,0.0,2500.0
283,26,17,0.0,700.0
284,10,21,0.0,0.0
285,32,42,2200.0,0.0
286,33,18,0.0,800.0
287,47,11,0.0,100.0
288,31,49,2100.0,0.0
289,25,42,1500.0,0.0
290,25,47,1500.0,0.0
291,49,37,0.0,2700.0
292,30,22,0.0,1200.0
293,24,17,0.0,700.0
294,27,23,0.0,1300.0
295,36,17,0.0,700.0
296,45,20,0.0,1000.0
297,49,18,0.0,800.0
298,33,37,2300.0,0.0
299,10,43,0.0,0.0
300,35,15,0.0,500.0
301,39,37,0.0,2700.0
302,40,10,0.0,0.0
303,33,29,0.0,1900.0
304,33,22,0.0,1200.0
305,34,13,0.0,300.0
306,37,18,0.0,800.0
307,31,36,2100.0,0.0
308,36,44,2600.0,0.0
309,18,24,800.0,0.0
310,25,28,1500.0,0.0
311,10,24,0.0,0.0
312,35,45,2500.0,0.0
313,25,12,0.0,200.0
314,38,32,0.0,2200.0
315,45,25,0.0,1500.0
316,27,24,0.0,1400.0
317,17,23,700.0,0.0
318,43,44,3300.0,0.0
319,33,27,0.0,1700.0
320,36,28,0.0,1800.0
321,27,26,0.0,1600.0
322,14,42,400.0,0.0
323,37,15,0.0,500.0
324,35,18,0.0,800.0
325,10,38,0.0,0.0
326,47,35,0.0,2500.0
327,36,31,0.0,2100.0
328,29,38,1900.0,0.0
329,40,20,0.0,1000.0
330,17,29,700.0,0.0
331,48,29,0.0,1900.0
332,48,12,0.0,200.0
333,20,17,0.0,700.0
334,39,43,2900.0,0.0
335,35,18,0.0,800.0
336,21,43,1100.0,0.0
337,17,19,700.0,0.0
338,14,33,400.0,0.0
339,20,49,1000.0,0.0
340,24,14,0.0,400.0
341,47,49,3700.0,0.0
342,33,23,0.0,1300.0
343,11,16,100.0,0.0
344,31,12,0.0,200.0
345,48,20,0.0,1000.0
346,24,49,1400.0,0.0
347,42,25,0.0,1500.0
348,36,25,0.0,1500.0
349,11,23,100.0,0.0
350,48,42,0.0,3200.0
351,13,43,300.0,0.0
352,18,10,0.0,0.0
353,44,38,0.0,2800.0
354,15,12,0.0,200.0
355,49,26,0.0,1600.0
356,48,38,0.0,2800.0
357,24,32,1400.0,0.0
358,13,45,300.0,0.0
359,46,28,0.0,1800.0
360,26,42,1600.0,0.0
361,23,19,0.0,900.0
362,46,24,0.0,1400.0
363,16,19,600.0,0.0
364,38,34,0.0,2400.0
365,22,16,0.0,600.0
366,29,27,0.0,1700.0
367,45,45,1750.0,1750.0
368,20,32,1000.0,0.0
369,18,45,800.0,0.0
370,24,31,1400.0,0.0
371,22,41,1200.0,0.0
372,23,11,0.0,100.0
373,11,30,100.0,0.0
374,46,31,0.0,2100.0
375,45,29,0.0,1900.0
376,41,28,0.0,1800.0
377,24,19,0.0,900.0
378,27,29,1700.0,0.0
379,41,27,0.0,1700.0
380,36,34,0.0,2400.0
381,49,44,0.0,3400.0
382,33,18,0.0,800.0
383,22,42,1200.0,0.0
384,45,33,0.0,2300.0
385,17,21,700.0,0.0
386,21,41,1100.0,0.0
387,20,27,1000.0,0.0
388,34,38,2400.0,0.0
389,19,36,900.0,0.0
390,31,13,0.0,300.0
391,20,23,1000.0,0.0
392,47,22,0.0,1200.0
393,23,38,1300.0,0.0
394,22,23,1200.0,0.0
395,40,27,0.0,1700.0
396,31,22,0.0,1200.0
397,16,46,600.0,0.0
398,28,18,0.0,800.0
399,49,11,0.0,100.0
400,32,24,0.0,1400.0
401,31,44,2100.0,0.0
402,21,11,0.0,100.0
403,15,29,500.0,0.0
404,15,39,500.0,0.0
405,46,43,0.0,3300.0
406,44,16,0.0,600.0
407,16,30,600.0,0.0
408,24,35,1400.0,0.0
409,16,18,600.0,0.0
410,38,30,0.0,2000.0
411,39,24,0.0,1400.0
412,30,47,2000.0,0.0
413,27,46,1700.0,0.0
414,23,40,1300.0,0.0
415,31,16,0.0,600.0
416,13,25,300.0,0.0
417,44,11,0.0,100.0
418,32,14,0.0,400.0
419,22,29,1200.0,0.0
420,22,45,1200.0,0.0
421,36,14,0.0,400.0
422,44,45,3400.0,0.0
423,33,14,0.0,400.0
424,39,27,0.0,1700.0
425,10,19,0.0,0.0
426,47,20,0.0,1000.0
427,32,45,2200.0,0.0
428,32,40,2200.0,0.0
429,38,25,0.0,1500.0
430,27,25,0.0,1500.0
431,10,21,0.0,0.0
432,32,16,0.0,600.0
433,25,28,1500.0,0.0
434,25,32,1500.0,0.0
435,13,44,300.0,0.0
436,37,18,0.0,800.0
437,17,20,700.0,0.0
438,48,33,0.0,2300.0
439,12,27,200.0,0.0
440,37,28,0.0,1800.0
441,47,37,0.0,2700.0
442,40,33,0.0,2300.0
443,41,18,0.0,800.0
444,20,14,0.0,400.0
445,40,14,0.0,400.0
446,28,14,0.0,400.0
447,26,42,1600.0,0.0
448,40,10,0.0,0.0
449,27,48,1700.0,0.0
450,25,49,1500.0,0.0
451,22,24,1200.0,0.0
452,11,40,100.0,0.0
453,22,19,0.0,900.0
454,32,43,2200.0,0.0
455,14,10,0.0,0.0
456,32,22,0.0,1200.0
457,32,16,0.0,600.0
458,29,30,1900.0,0.0
459,16,10,0.0,0.0
460,36,47,2600.0,0.0
461,45,10,0.0,0.0
462,45,38,0.0,2800.0
463,27,37,1700.0,0.0
464,25,45,1500.0,0.0
465,44,42,0.0,3200.0
466,19,43,900.0,0.0
467,38,17,0.0,700.0
468,38,42,2800.0,0.0
469,34,26,0.0,1600.0
470,21,43,1100.0,0.0
471,38,48,2800.0,0.0
472,28,20,0.0,1000.0
473,42,16,0.0,600.0
474,27,20,0.0,1000.0
475,26,30,1600.0,0.0
476,37,36,0.0,2600.0
477,12,41,200.0,0.0
478,42,40,0.0,3000.0
479,15,33,500.0,0.0
480,36,36,1300.0,1300.0
481,17,20,700.0,0.0
482,23,12,0.0,200.0
483,11,26,100.0,0.0
484,48,23,0.0,1300.0
485,21,42,1100.0,0.0
486,29,28,0.0,1800.0
487,26,12,0.0,200.0
488,10,12,0.0,0.0
489,16,12,0.0,200.0
490,19,34,900.0,0.0
491,39,49,2900.0,0.0
492,42,23,0.0,1300.0
493,47,11,0.0,100.0
494,44,30,0.0,2000.0
495,10,46,0.0,0.0
496,18,33,800.0,0.0
497,39,45,2900.0,0.0
498,18,38,800.0,0.0
499,12,16,200.0,0.0
